device build rows dataset relpages workers wm eic ioc readahead matches distinct run caching optimal timing
raid-sata master 1000000 uniform 41667 0 4096 0 1 8192 6048 10000 1 uncached seqscan 232.903
raid-sata master 1000000 uniform 41667 0 4096 0 1 8192 8048 10000 1 uncached seqscan 268.463
raid-sata master 1000000 uniform 41667 0 4096 0 1 8192 10048 10000 1 uncached seqscan 273.374
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 1 8192 2 10000 1 uncached bitmapscan 37.657
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 1 8192 4 10000 1 uncached bitmapscan 61.605
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 1 8192 8 10000 1 uncached bitmapscan 109.057
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 1 8192 16 10000 1 uncached bitmapscan 211.049
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 1 8192 32 10000 1 uncached bitmapscan 399.300
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 1 8192 64 10000 1 uncached bitmapscan 663.061
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 1 8192 128 10000 1 uncached bitmapscan 578.395
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 1 8192 256 10000 1 uncached bitmapscan 311.746
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 1 8192 512 10000 1 uncached bitmapscan 278.680
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 1 8192 1024 10000 1 uncached bitmapscan 252.933
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 1 8192 2048 10000 1 uncached bitmapscan 227.114
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 1 8192 4048 10000 1 uncached bitmapscan 224.565
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 1 8192 6048 10000 1 uncached seqscan 226.224
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 1 8192 8048 10000 1 uncached seqscan 218.219
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 1 8192 10048 10000 1 uncached seqscan 226.329
raid-sata master 1000000 uniform 41667 0 4096 0 32 8192 2 10000 1 uncached bitmapscan 41.939
raid-sata master 1000000 uniform 41667 0 4096 0 32 8192 4 10000 1 uncached bitmapscan 61.479
raid-sata master 1000000 uniform 41667 0 4096 0 32 8192 8 10000 1 uncached bitmapscan 108.361
raid-sata master 1000000 uniform 41667 0 4096 0 32 8192 16 10000 1 uncached bitmapscan 203.454
raid-sata master 1000000 uniform 41667 0 4096 0 32 8192 32 10000 1 uncached bitmapscan 391.520
raid-sata master 1000000 uniform 41667 0 4096 0 32 8192 64 10000 1 uncached bitmapscan 606.355
raid-sata master 1000000 uniform 41667 0 4096 0 32 8192 128 10000 1 uncached bitmapscan 495.488
raid-sata master 1000000 uniform 41667 0 4096 0 32 8192 256 10000 1 uncached bitmapscan 356.692
raid-sata master 1000000 uniform 41667 0 4096 0 32 8192 512 10000 1 uncached bitmapscan 272.897
raid-sata master 1000000 uniform 41667 0 4096 0 32 8192 1024 10000 1 uncached bitmapscan 239.143
raid-sata master 1000000 uniform 41667 0 4096 0 32 8192 2048 10000 1 uncached bitmapscan 206.074
raid-sata master 1000000 uniform 41667 0 4096 0 32 8192 4048 10000 1 uncached bitmapscan 210.400
raid-sata master 1000000 uniform 41667 0 4096 0 32 8192 6048 10000 1 uncached seqscan 229.569
raid-sata master 1000000 uniform 41667 0 4096 0 32 8192 8048 10000 1 uncached seqscan 227.799
raid-sata master 1000000 uniform 41667 0 4096 0 32 8192 10048 10000 1 uncached seqscan 230.024
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 32 8192 2 10000 1 uncached bitmapscan 34.806
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 32 8192 4 10000 1 uncached bitmapscan 59.586
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 32 8192 8 10000 1 uncached bitmapscan 105.988
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 32 8192 16 10000 1 uncached bitmapscan 183.895
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 32 8192 32 10000 1 uncached bitmapscan 362.162
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 32 8192 64 10000 1 uncached bitmapscan 638.520
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 32 8192 128 10000 1 uncached bitmapscan 1076.041
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 32 8192 256 10000 1 uncached bitmapscan 1534.015
