  device   |  rows   |   dataset   | relpages | workers |  wm   | eic | nmatches | ndistinct |  caching  |  optimal   | cnt_master |    timing_master     | cnt_p1 |      timing_p1       | cnt_p2 |      timing_p2       | cnt_p3 |      timing_p3       | cnt_p4 |      timing_p4       
 data      | 1000000 | uniform     |    41667 |       4 |  4096 |   0 |      128 |     10000 | uncached  | bitmapscan |          3 |    264.0246666666667 |      3 |    276.9253333333333 |      3 |   261.44599999999997 |      3 |              482.517 |      3 |   477.33500000000004
 data      | 1000000 | uniform     |    41667 |       0 | 65536 |   0 |      128 |     10000 | uncached  | bitmapscan |          3 |              270.329 |      3 |   262.36066666666665 |      3 |    262.6086666666667 |      3 |    483.3256666666667 |      3 |   483.22600000000006
 data      | 1000000 | cyclic      |    41667 |       4 |  4096 |   1 |       92 |       100 | uncached  | seqscan    |          3 |    402.8213333333333 |      3 |   412.49033333333335 |      3 |   415.39300000000003 |      3 |    614.8470000000001 |      3 |    614.8796666666667
 data      | 1000000 | cyclic-fuzz |    41667 |       4 | 65536 |   1 |       92 |       100 | uncached  | seqscan    |          3 |    403.2713333333333 |      3 |              408.675 |      3 |   407.78666666666663 |      3 |    614.9699999999999 |      3 |    617.4283333333333
 data      | 1000000 | uniform     |    41667 |       0 |  4096 |   0 |      128 |     10000 | uncached  | bitmapscan |          3 |   270.10766666666666 |      3 |    269.8793333333333 |      3 |   275.83666666666664 |      3 |              481.606 |      3 |   488.24966666666666
 data      | 1000000 | uniform     |    41667 |       4 | 65536 |   0 |      128 |     10000 | uncached  | bitmapscan |          3 |    272.8426666666667 |      3 |    268.4363333333333 |      3 |    260.4456666666667 |      3 |   480.71133333333336 |      3 |   481.85966666666667
 raid-nvme | 1000000 | cyclic-fuzz |    41667 |       4 | 65536 |   1 |       52 |       100 | uncached  | seqscan    |          3 |   118.96533333333332 |      3 |              126.383 |      3 |   125.18466666666666 |      3 |    321.6906666666667 |      3 |   316.92766666666665
 raid-nvme | 1000000 | cyclic-fuzz |    41667 |       4 |  4096 |   1 |       52 |       100 | uncached  | seqscan    |          3 |   122.07600000000001 |      3 |   116.98733333333332 |      3 |   121.81966666666666 |      3 |   322.93066666666664 |      3 |              324.094
 raid-nvme | 1000000 | cyclic-fuzz |    41667 |       4 |   128 |   1 |       52 |       100 | uncached  | seqscan    |          3 |   120.41266666666667 |      3 |   126.71166666666666 |      3 |   123.66566666666667 |      3 |    320.0996666666667 |      3 |   321.98133333333334
 data      | 1000000 | uniform     |    41667 |       0 |   128 |   0 |      512 |     10000 | uncached  | seqscan    |          3 |   157.72533333333334 |      3 |              157.539 |      3 |   156.15800000000002 |      3 |    354.0886666666667 |      3 |    381.8503333333333
